Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Outdoor CO2 Dummy,OccSim_DummyOccSch,ZONE 1:Zone Mean Air Temperature [C](TimeStep),ZONE 2:Zone Mean Air Temperature [C](TimeStep),ZONE 3:Zone Mean Air Temperature [C](TimeStep),ZONE 4:Zone Mean Air Temperature [C](TimeStep),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 2:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 3:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 4:Zone Air CO2 Concentration [ppm](TimeStep) 
 01/01  00:10:00,3.216666667,0.004117871,383.6,0,-3.175305524,-2.445735396,-3.13281076,-2.934598688,0.002478435,0.002478386,0.002478406,0.002478396,386.5715815,386.5699181,386.5715175,386.5710208
 01/01  00:20:00,3.133333333,0.004152062,392.6001793,0,-3.433335234,-2.524211973,-3.169309726,-2.95632055,0.002398241,0.002397966,0.002398146,0.00239808,386.8740204,386.8736828,386.8744902,386.8742969
 01/01  00:30:00,3.05,0.004185789,383.6003586,0,-3.655379655,-2.593239314,-3.209181972,-2.982893427,0.002345512,0.002345055,0.002345323,0.002345219,386.6339528,386.6326865,386.6339181,386.6335375
 01/01  00:40:00,2.966666667,0.004219056,384.600538,0,-4.180841566,-2.777011892,-3.315007928,-3.053525452,0.002202528,0.002201539,0.002202014,0.002201808,386.2823654,386.279811,386.2814646,386.2808508
 01/01  00:50:00,2.883333333,0.004251866,390.6007173,0,-4.69245878,-2.993744768,-3.449960798,-3.145456058,0.002050095,0.002048448,0.002049073,0.002048752,386.4785917,386.4777619,386.4789145,386.478628
 01/01  01:00:00,2.8,0.004284222,387.6008966,0,-5.17735987,-3.244014844,-3.614179729,-3.257646873,0.001893622,0.001891259,0.00189197,0.001891523,386.8809782,386.8826773,386.8831351,386.8833263
 01/01  01:10:00,2.8,0.004284222,389.6010759,0,-5.545700798,-3.495754979,-3.786475787,-3.376219836,0.001749385,0.001746409,0.001747137,0.001746572,387.173721,387.1771662,387.1772939,387.1778455
 01/01  01:20:00,2.8,0.004284222,391.6012552,0,-5.763851056,-3.721965908,-3.947704213,-3.489962168,0.001626699,0.001623326,0.00162402,0.001623364,387.6546545,387.6609652,387.6608065,387.6620154
 01/01  01:30:00,2.8,0.004284222,386.6014345,0,-5.874117058,-3.917367715,-4.093283988,-3.595843856,0.001525646,0.001522105,0.001522734,0.001522017,387.7962289,387.8026314,387.8024161,387.8036535
 01/01  01:40:00,2.8,0.004284222,385.6016139,0,-5.928716229,-4.085728571,-4.224611715,-3.694293758,0.001442864,0.001439337,0.001439891,0.001439142,387.6118314,387.6160838,387.6159476,387.6166462
 01/01  01:50:00,2.8,0.004284222,389.6017932,0,-5.960096012,-4.2321032,-4.344047189,-3.786383643,0.001374818,0.00137143,0.001371908,0.001371151,387.6502352,387.6539297,387.6538328,387.6544989
 01/01  02:00:00,2.8,0.004284222,390.6019725,0,-5.98178621,-4.360392564,-4.453373288,-3.872931384,0.001318749,0.001315575,0.001315983,0.001315237,387.954302,387.9590781,387.9589773,387.9601448
 01/01  02:10:00,2.7,0.004276719,385.6021518,0,-5.996443437,-4.472966119,-4.553558286,-3.954316178,0.001272782,0.001269863,0.001270209,0.001269488,387.9250194,387.928985,387.9288943,387.9298157
 01/01  02:20:00,2.6,0.004269081,382.6023311,0,-6.004932087,-4.57164624,-4.645325641,-4.030812491,0.001235426,0.001232779,0.001233072,0.001232388,387.4051324,387.4059212,387.405855,387.4055331
 01/01  02:30:00,2.5,0.004261311,387.6025105,0,-6.008572753,-4.658059403,-4.729351538,-4.102695515,0.001205396,0.001203023,0.00120327,0.001202631,387.1240287,387.1232411,387.1231925,387.1223109
 01/01  02:40:00,2.4,0.00425341,383.6026898,0,-6.008891581,-4.733691338,-4.806289134,-4.170247572,0.001181573,0.001179466,0.001179675,0.001179086,386.7478819,386.7454989,386.7454665,386.7439065
 01/01  02:50:00,2.3,0.00424538,385.6028691,0,-6.007042705,-4.799871494,-4.876751125,-4.233743662,0.001162996,0.001161142,0.001161319,0.001160782,386.4784314,386.4752496,386.4752293,386.4733226
 01/01  03:00:00,2.2,0.004237225,390.6030484,0,-6.003769721,-4.8577665,-4.941297658,-4.293441972,0.001148853,0.001147234,0.001147383,0.0011469,386.7339979,386.732294,386.732259,386.7312219
 01/01  03:10:00,2.116666667,0.004181791,383.6032277,0,-6.006644961,-4.910313708,-5.001608169,-4.350378899,0.001137619,0.001136211,0.001136337,0.001135906,386.662087,386.6604575,386.6604389,386.6594222
 01/01  03:20:00,2.033333333,0.004126867,386.603407,0,-6.017429592,-4.959428236,-5.058809191,-4.405248334,0.001128294,0.001127073,0.00112718,0.001126796,386.5727046,386.5710216,386.5710162,386.5699603
 01/01  03:30:00,1.95,0.00407245,382.6035864,0,-6.033865012,-5.005979608,-5.11343664,-4.458367255,0.001120389,0.001119331,0.001119423,0.001119082,386.1959549,386.1932001,386.1932467,386.1915083
 01/01  03:40:00,1.866666667,0.004018535,392.6037657,0,-6.053220376,-5.050320195,-5.165746755,-4.509875313,0.001113663,0.001112748,0.001112826,0.001112524,386.5348806,386.5336764,386.5336529,386.5329356
 01/01  03:50:00,1.783333333,0.003965118,390.603945,0,-6.073802261,-5.0926627,-5.215907223,-4.559857918,0.001107959,0.001107168,0.001107235,0.001106968,387.1400442,387.141102,387.1409687,387.1417416
 01/01  04:00:00,1.7,0.003912197,390.6041243,0,-6.094900058,-5.133199115,-5.264080492,-4.608400609,0.001103138,0.001102454,0.001102512,0.001102276,387.7298483,387.7327524,387.7325194,387.7345217
 01/01  04:10:00,1.7,0.003940725,386.6043036,0,-6.110407073,-5.17055598,-5.309458941,-4.654932383,0.001099755,0.001099167,0.001099216,0.00109901,387.8772473,387.8802235,387.88,387.8820345
 01/01  04:20:00,1.7,0.003969257,391.6044829,0,-6.118983679,-5.204076417,-5.351645786,-4.699150153,0.001098039,0.001097538,0.00109758,0.001097402,388.1807981,388.1842497,388.1839792,388.1863627
 01/01  04:30:00,1.7,0.003997791,388.6046623,0,-6.122555602,-5.233849096,-5.390679692,-4.741040998,0.001097894,0.001097471,0.001097506,0.001097356,388.3689805,388.37247,388.3721869,388.3746132
 01/01  04:40:00,1.7,0.004026328,384.6048416,0,-6.123407589,-5.260275472,-5.426788824,-4.78072279,0.001099097,0.001098743,0.001098773,0.001098649,388.1092948,388.111472,388.1113247,388.1127932
 01/01  04:50:00,1.7,0.004054867,386.6050209,0,-6.122955902,-5.28378677,-5.460228958,-4.818338063,0.001101424,0.001101133,0.001101157,0.001101058,387.7993562,387.8002604,387.8002486,387.8007841
 01/01  05:00:00,1.7,0.004083409,392.6052002,0,-6.121800776,-5.304748223,-5.491226922,-4.854016051,0.001104692,0.001104456,0.001104475,0.001104399,388.0687945,388.0702733,388.0701461,388.0711679
 01/01  05:10:00,1.6,0.004054058,389.6053795,0,-6.125990476,-5.325009907,-5.520935319,-4.888520751,0.001108044,0.001107854,0.001107869,0.001107812,388.4073791,388.4095829,388.4093275,388.4109406
 01/01  05:20:00,1.5,0.004024895,392.6055588,0,-6.136832116,-5.345644405,-5.550067105,-4.922336287,0.001111005,0.001110853,0.001110864,0.001110823,388.915076,388.9183446,388.9178941,388.920367
 01/01  05:30:00,1.4,0.003995921,387.6057382,0,-6.152398384,-5.366937815,-5.578875619,-4.955646986,0.001113473,0.001113352,0.00111336,0.00111333,389.0436524,389.0467852,389.0463471,389.0487276
 01/01  05:40:00,1.3,0.003967132,388.6059175,0,-6.170413503,-5.388823396,-5.607400328,-4.988495765,0.001115511,0.001115414,0.001115419,0.001115399,388.9970091,388.999523,388.9991807,389.0010849
 01/01  05:50:00,1.2,0.003938529,390.6060968,0,-6.18946621,-5.411163995,-5.635629002,-5.020889678,0.001117207,0.00111713,0.001117133,0.00111712,389.084601,389.0869389,389.0866033,389.0883797
 01/01  06:00:00,1.1,0.00391011,382.6062761,0,-6.208954185,-5.433850356,-5.663555775,-5.052838174,0.001118632,0.001118571,0.001118573,0.001118565,388.5952251,388.5958943,388.5958853,388.5963563
 01/01  06:10:00,1.2,0.003910361,387.6064554,0,-6.075486786,-5.411863511,-5.663390354,-5.063253904,0.001120003,0.001119952,0.001119953,0.001119949,388.2386455,388.2382312,388.2384395,388.2380551
 01/01  06:20:00,1.3,0.003910397,386.6066347,0,-5.90456895,-5.366046521,-5.647114565,-5.060827334,0.001121782,0.001121739,0.001121739,0.001121739,388.0346356,388.0337435,388.0340686,388.0332695
 01/01  06:30:00,1.4,0.003910214,388.6068141,0,-5.780333815,-5.317822507,-5.627465463,-5.054976472,0.001124198,0.001124163,0.001124161,0.001124165,387.9978338,387.9969255,387.997245,387.9964355
 01/01  06:40:00,1.5,0.00390981,384.6069934,0,-5.715594912,-5.276469122,-5.610219825,-5.050061524,0.001127278,0.001127251,0.001127246,0.001127257,387.8608497,387.8598185,387.8602441,387.8592346
 01/01  06:50:00,1.6,0.003909183,391.6071727,0,-5.690752708,-5.243391157,-5.596559786,-5.047074528,0.001130973,0.001130954,0.001130946,0.001130963,387.9497273,387.9489405,387.9492391,387.9484873
 01/01  07:00:00,1.7,0.003908329,388.607352,0,-5.685362029,-5.217304975,-5.586038052,-5.045794959,0.001135219,0.001135208,0.001135196,0.00113522,388.0566906,388.0561513,388.0563135,388.0558357
 01/01  07:10:00,1.6,0.003907895,390.6075313,0,-5.684159534,-5.195762339,-5.577448411,-5.045456832,0.001139975,0.001139974,0.001139957,0.001139989,388.219151,388.2189366,388.218906,388.2187815
 01/01  07:20:00,1.5,0.003907235,382.6077106,0,-5.681750765,-5.177204728,-5.570036935,-5.045587323,0.001145211,0.001145219,0.001145198,0.001145236,388.051216,388.0507117,388.0508828,388.050459
 01/01  07:30:00,1.4,0.003906351,387.60789,0,-5.677419411,-5.160226611,-5.563308794,-5.045883,0.001150896,0.001150913,0.001150887,0.001150933,387.9012417,387.9005018,387.9008379,387.9001644
 01/01  07:40:00,1.3,0.003905246,388.6080693,0,-5.670919766,-5.142849674,-5.556700411,-5.045988199,0.001157001,0.001157029,0.001156997,0.001157051,387.870442,387.8697063,387.8700504,387.8693692
 01/01  07:50:00,1.2,0.003903924,385.6082486,0,-5.661974017,-5.123902703,-5.549852287,-5.045676583,0.0011635,0.001163537,0.0011635,0.001163561,387.777833,387.7769806,387.7774146,387.7766216
 01/01  08:00:00,1.1,0.003902388,389.6084279,0,-5.650425646,-5.102806862,-5.542533788,-5.044802195,0.001170367,0.001170415,0.001170372,0.00117044,387.8077002,387.8069766,387.8073335,387.806657
 01/01  08:10:00,2.033333333,0.004079526,384.6086072,0,-5.633583715,-5.078622356,-5.53412863,-5.042953216,0.001177262,0.00117732,0.001177271,0.001177346,387.7007654,387.6998892,387.7003666,387.6995596
 01/01  08:20:00,2.966666667,0.004260289,388.6087865,0,-5.611285401,-5.050933542,-5.524263218,-5.039872489,0.00118397,0.001184036,0.001183982,0.001184062,387.6705805,387.6697146,387.6701944,387.6693986
 01/01  08:30:00,3.9,0.004444363,390.6089658,0,-5.584809384,-5.019641516,-5.512767706,-5.035434238,0.001190418,0.001190492,0.001190432,0.001190517,387.8003461,387.7998128,387.8000543,387.799544
 01/01  08:40:00,4.833333333,0.00463139,390.6091452,0,-5.556120306,-4.985386321,-5.49976452,-5.029707196,0.001196599,0.00119668,0.001196615,0.001196704,388.0082919,388.008227,388.0081205,388.0080058
 01/01  08:50:00,5.766666667,0.004820961,389.6093245,0,-5.525689321,-4.948720964,-5.4853634,-5.022752723,0.001202522,0.001202608,0.001202539,0.001202631,388.1827439,388.1830445,388.1826618,388.1828519
 01/01  09:00:00,6.7,0.005012616,385.6095038,0,-5.493282031,-4.909715381,-5.469601747,-5.014584536,0.001208194,0.001208285,0.001208212,0.001208305,388.1394717,388.1396571,388.1393893,388.1394983
 01/01  09:10:00,7.35,0.005124702,385.6096831,0,-5.397554192,-4.850481876,-5.442639629,-4.997701587,0.001212322,0.001212416,0.00121234,0.001212434,388.0246809,388.0246147,388.0245802,388.0244919
 01/01  09:20:00,8,0.005235394,383.6098624,0,-5.282556912,-4.778647679,-5.408508418,-4.975046765,0.001215593,0.001215689,0.00121561,0.001215705,387.8618159,387.8614354,387.8617275,387.8613783
 01/01  09:30:00,8.65,0.005344373,383.6100417,0,-5.181661259,-4.702313314,-5.371560771,-4.949848276,0.001218659,0.001218757,0.001218674,0.00121877,387.6855106,387.6848243,387.6854776,387.684865
 01/01  09:40:00,9.3,0.005451304,386.6102211,0,-5.101571669,-4.625413518,-5.333894688,-4.923670363,0.001221784,0.001221883,0.001221796,0.001221894,387.5806796,387.5798357,387.5806931,387.5799435
 01/01  09:50:00,9.95,0.005555826,390.6104004,0,-5.035892606,-4.548859655,-5.296006122,-4.896895098,0.001224987,0.001225088,0.001224997,0.001225095,387.6146272,387.6138804,387.6146108,387.6139395
 01/01  10:00:00,10.6,0.005657559,386.6105797,0,-4.976981583,-4.472399398,-5.257783226,-4.869453961,0.001228204,0.001228307,0.001228212,0.00122831,387.6319287,387.631244,387.6319041,387.6312878
 01/01  10:10:00,10.96666667,0.005515213,389.610759,0,-4.921203552,-4.395953032,-5.219240935,-4.841354082,0.001232323,0.001232429,0.001232326,0.001232426,387.680869,387.6803056,387.6808078,387.6802863
 01/01  10:20:00,11.33333333,0.005361938,387.6109383,0,-4.866530765,-4.319411863,-5.180362646,-4.812584279,0.001237911,0.001238024,0.00123791,0.001238014,387.7066812,387.7061903,387.706602,387.7061385
 01/01  10:30:00,11.7,0.005197347,384.6111176,0,-4.81172498,-4.242628577,-5.141091741,-4.783109501,0.001245164,0.001245287,0.001245155,0.001245265,387.6450048,387.644405,387.6449893,387.644465
 01/01  10:40:00,12.06666667,0.005021044,387.6112969,0,-4.757423484,-4.16611105,-5.101626233,-4.753067655,0.00125409,0.001254227,0.001254074,0.00125419,387.6012911,387.6006246,387.6013186,387.6007581
 01/01  10:50:00,12.43333333,0.004832625,387.6114762,0,-4.704271597,-4.090310998,-5.062118279,-4.722568715,0.001264656,0.001264811,0.001264629,0.001264754,387.5852836,387.584611,387.5853252,387.5847663
 01/01  11:00:00,12.8,0.004631677,392.6116556,0,-4.652335397,-4.015473143,-5.022636165,-4.691668414,0.001276831,0.001277007,0.001276792,0.001276927,387.6948882,387.6944982,387.6948057,387.6944014
 01/01  11:10:00,13.06666667,0.004605222,384.6118349,0,-4.601317628,-3.941683346,-4.983195972,-4.660388529,0.001290312,0.001290513,0.001290259,0.001290404,387.6974218,387.697049,387.6973424,387.6969606
 01/01  11:20:00,13.33333333,0.004576222,388.6120142,0,-4.551162596,-3.869139609,-4.943844816,-4.628772395,0.001304905,0.001305133,0.001304836,0.001304993,387.6998184,387.6994657,387.6997399,387.6993769
 01/01  11:30:00,13.6,0.004544606,390.6121935,0,-4.501390387,-3.797756818,-4.904552547,-4.596812143,0.001320536,0.001320794,0.001320452,0.001320619,387.7654621,387.7652921,387.7653059,387.7650309
 01/01  11:40:00,13.86666667,0.004510302,385.6123728,0,-4.45358736,-3.728240409,-4.865593428,-4.564705648,0.001337192,0.001337483,0.00133709,0.00133727,387.7581659,387.7579815,387.7580261,387.7577555
 01/01  11:50:00,14.13333333,0.004473237,382.6125521,0,-4.408934466,-3.661232715,-4.827200391,-4.532626891,0.001354874,0.001355201,0.001354754,0.001354945,387.6280192,387.6274883,387.6280526,387.6276532
 01/01  12:00:00,14.4,0.004433334,383.6127314,0,-4.369719618,-3.597668974,-4.789702162,-4.500818424,0.001373583,0.001373948,0.001373443,0.001373646,387.4595025,387.4585259,387.4597525,387.4591895
 01/01  12:10:00,14.78333333,0.004476691,385.6129107,0,-4.337412352,-3.538070398,-4.753419572,-4.469522232,0.00139297,0.001393376,0.001392811,0.001393026,387.3369483,387.3356643,387.3373468,387.336677
 01/01  12:20:00,15.16666667,0.004519058,382.6130901,0,-4.311417384,-3.482505411,-4.718472844,-4.438849231,0.001412813,0.001413261,0.001412635,0.001412862,387.1862643,387.1845851,387.1868365,387.186039
 01/01  12:30:00,15.55,0.004560367,392.6132694,0,-4.288275953,-3.431409188,-4.685046325,-4.408955337,0.001433033,0.001433525,0.001432838,0.001433076,387.2341291,387.2326744,387.2346236,387.2339053
 01/01  12:40:00,15.93333333,0.004600546,391.6134487,0,-4.265039524,-3.383762214,-4.65275335,-4.379612763,0.001453624,0.001454161,0.001453412,0.001453661,387.3873614,387.3864547,387.3876536,387.3871179
 01/01  12:50:00,16.31666667,0.004639522,386.613628,0,-4.240065963,-3.338529899,-4.621228538,-4.3506028,0.001474595,0.001475178,0.001474367,0.001474627,387.4571448,387.4564968,387.4573404,387.4568973
 01/01  13:00:00,16.7,0.00467722,385.6138073,0,-4.212966762,-3.29507386,-4.590252056,-4.321799429,0.001495955,0.001496586,0.001495712,0.001495982,387.4326917,387.4319847,387.4329055,387.4324573
 01/01  13:10:00,16.78333333,0.004564833,388.6139866,0,-4.184995565,-3.253574821,-4.559879359,-4.293259677,0.001517462,0.001518139,0.001517204,0.001517485,387.4310917,387.430408,387.4312992,387.4308671
 01/01  13:20:00,16.86666667,0.0044511,389.6141659,0,-4.159013372,-3.213812933,-4.530026918,-4.264946614,0.001538962,0.001539686,0.001538691,0.001538981,387.4825149,387.4820362,387.4826572,387.4822918
 01/01  13:30:00,16.95,0.004336013,387.6143452,0,-4.134137633,-3.176081747,-4.500575843,-4.236797913,0.001560407,0.001561176,0.001560123,0.001560422,387.5177043,387.5173672,387.5178016,387.517485
 01/01  13:40:00,17.03333333,0.004219563,388.6145245,0,-4.108957742,-3.140150427,-4.471359523,-4.208717033,0.001581795,0.001582607,0.001581499,0.001581806,387.5545854,387.5543913,387.5546382,387.5543699
 01/01  13:50:00,17.11666667,0.00410174,384.6147038,0,-4.082842346,-3.105671201,-4.442260441,-4.180637905,0.001603139,0.001603994,0.001602831,0.001603147,387.5066562,387.5062993,387.506758,387.506455
 01/01  14:00:00,17.2,0.003982535,384.6148832,0,-4.055817874,-3.072366513,-4.413214195,-4.152528223,0.001624449,0.001625346,0.001624131,0.001624454,387.4067351,387.4060351,387.4069399,387.406554
 01/01  14:10:00,17.11666667,0.003921174,384.6150625,0,-4.031666617,-3.041044585,-4.384721059,-4.12473621,0.001645666,0.001646603,0.001645339,0.001645669,387.29173,387.2906444,387.292049,387.2915692
 01/01  14:20:00,17.03333333,0.003860346,389.6152418,0,-4.010921161,-3.011649847,-4.356944741,-4.097388191,0.001666753,0.001667728,0.001666417,0.001666754,387.288978,387.2879271,387.2892891,387.2888255
 01/01  14:30:00,16.95,0.003800049,386.6154211,0,-3.993089355,-2.984255056,-4.329962317,-4.070553829,0.0016877,0.001688713,0.001687357,0.0016877,387.292914,387.2919207,387.2932081,387.2927672
 01/01  14:40:00,16.86666667,0.003740277,392.6156004,0,-3.977739006,-2.959085923,-4.303859629,-4.044308787,0.001708511,0.001709559,0.001708161,0.00170851,387.4128285,387.4123196,387.4129958,387.412686
 01/01  14:50:00,16.78333333,0.003681028,388.6157797,0,-3.964432949,-2.936216057,-4.278663049,-4.018688477,0.001729192,0.001730275,0.001728837,0.001729191,387.5131991,387.5130853,387.5132642,387.5130623
 01/01  15:00:00,16.7,0.003622298,382.615959,0,-3.952699781,-2.915585718,-4.254355218,-3.993697913,0.001749751,0.001750867,0.001749391,0.001749751,387.4467077,387.4463469,387.446824,387.4465675
 01/01  15:10:00,16.7,0.003622298,386.6161383,0,-3.942082282,-2.897047296,-4.230898468,-3.969326825,0.001770449,0.001771598,0.001770087,0.001770451,387.3692214,387.3685803,387.369399,387.3690788
 01/01  15:20:00,16.7,0.003622298,390.6163176,0,-3.932586565,-2.880838857,-4.208359868,-3.94563423,0.001791448,0.00179263,0.001791083,0.001791453,387.4041905,387.403709,387.4043378,387.4040637
 01/01  15:30:00,16.7,0.003622298,383.6164969,0,-3.923799938,-2.866732664,-4.186687549,-3.922598837,0.001812792,0.001814009,0.001812427,0.001812802,387.3564781,387.3558335,387.3566531,387.3563443
 01/01  15:40:00,16.7,0.003622298,383.6166762,0,-3.91511934,-2.854289319,-4.165765695,-3.900154952,0.001834476,0.001835727,0.00183411,0.001834491,387.2383608,387.2372867,387.2386096,387.2381993
 01/01  15:50:00,16.7,0.003622298,392.6168555,0,-3.90617956,-2.843167336,-4.145502046,-3.87825057,0.001856478,0.001857764,0.001856112,0.0018565,387.2915581,387.2907318,387.2917664,387.2914243
 01/01  16:00:00,16.7,0.003622298,387.6170348,0,-3.896982286,-2.833212332,-4.125853098,-3.856864708,0.001878781,0.001880101,0.001878416,0.00187881,387.3528252,387.3522706,387.352987,387.3527187
