Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Outdoor CO2 Dummy,OccSim_DummyOccSch,ZONE 1:Zone Mean Air Temperature [C](TimeStep),ZONE 2:Zone Mean Air Temperature [C](TimeStep),ZONE 3:Zone Mean Air Temperature [C](TimeStep),ZONE 4:Zone Mean Air Temperature [C](TimeStep),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 2:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 3:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 4:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 1 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 2 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 3 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 4 INLET:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 1 INLET:System Node Temperature [C](TimeStep),ZONE 2 INLET:System Node Temperature [C](TimeStep),ZONE 3 INLET:System Node Temperature [C](TimeStep),ZONE 4 INLET:System Node Temperature [C](TimeStep),ZONE 1 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4 INLET:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 2 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 3 INLET:System Node CO2 Concentration [ppm](TimeStep),ZONE 4 INLET:System Node CO2 Concentration [ppm](TimeStep) 
 01/01  00:10:00,3.216666667,0.004117871,383.6,0,15.56,15.56,15.56,15.56,0.007407836,0.007434301,0.007626786,0.007608643,386.5736817,386.5742153,386.5770533,386.5767682,0.986334637,0.998745302,1.055170055,1.049621954,50,50,50,50,0.015,0.015,0.015,0.015,387.0192318,387.0192884,387.0197747,387.0197246
 01/01  00:20:00,3.133333333,0.004152062,392.6001793,0,15.56,15.56,15.56,15.56,0.00740835,0.007439147,0.007623864,0.007606253,386.9004691,386.9008893,386.9036875,386.9034218,1.066495498,1.082033053,1.134742706,1.129279019,50,50,50,50,0.015,0.015,0.015,0.015,386.5736817,386.5742153,386.5770533,386.5767682
 01/01  00:30:00,3.05,0.004185789,383.6003586,0,15.56,15.56,15.56,15.56,0.007426894,0.007463131,0.007637158,0.00762018,386.8669537,386.8672246,386.8693586,386.8691584,1.147919812,1.166528394,1.215503671,1.210123451,50,50,50,50,0.015,0.015,0.015,0.015,386.9004691,386.9008893,386.9036875,386.9034218
 01/01  00:40:00,2.966666667,0.004219056,384.600538,0,15.56,15.56,15.56,15.56,0.007464164,0.00750646,0.007667759,0.007651488,386.6071582,386.6076611,386.6098685,386.6096412,1.230548419,1.252223466,1.297505129,1.292207553,50,50,50,50,0.015,0.015,0.015,0.015,386.8669537,386.8672246,386.8693586,386.8691584
 01/01  00:50:00,2.883333333,0.004251866,390.6007173,0,15.56,15.56,15.56,15.56,0.007519182,0.007567738,0.007715177,0.007699658,386.8118194,386.8121568,386.8139761,386.8137977,1.314368864,1.339121473,1.380812045,1.375596456,50,50,50,50,0.015,0.015,0.015,0.015,386.6071582,386.6076611,386.6098685,386.6096412
 01/01  01:00:00,2.8,0.004284222,387.6008966,0,15.56,15.56,15.56,15.56,0.007590124,0.007644845,0.007778022,0.007763279,387.0268891,387.0267336,387.0277305,387.0276593,1.399389041,1.42723369,1.465488053,1.460353966,50,50,50,50,0.015,0.015,0.015,0.015,386.8118194,386.8121568,386.8139761,386.8137977
 01/01  01:10:00,2.8,0.004284222,389.6010759,0,15.56,15.56,15.56,15.56,0.007654487,0.007714212,0.00783544,0.007821395,387.3284737,387.3276266,387.3275791,387.3276466,1.396281458,1.424217537,1.462679636,1.457624347,50,50,50,50,0.015,0.015,0.015,0.015,387.0268891,387.0267336,387.0277305,387.0276593
 01/01  01:20:00,2.8,0.004284222,391.6012552,0,15.56,15.56,15.56,15.56,0.007701592,0.007764929,0.007877631,0.007864164,387.8185653,387.8167318,387.8152955,387.8155478,1.39289785,1.421093893,1.460084836,1.455108458,50,50,50,50,0.015,0.015,0.015,0.015,387.3284737,387.3276266,387.3275791,387.3276466
 01/01  01:30:00,2.8,0.004284222,386.6014345,0,15.56,15.56,15.56,15.56,0.00773202,0.007797907,0.007905246,0.007892248,387.9299822,387.92769,387.9254962,387.9258375,1.389447722,1.417969551,1.457755987,1.452858735,50,50,50,50,0.015,0.015,0.015,0.015,387.8185653,387.8167318,387.8152955,387.8155478
 01/01  01:40:00,2.8,0.004284222,385.6016139,0,15.56,15.56,15.56,15.56,0.007750472,0.007818253,0.007922673,0.00791006,387.7172611,387.7154047,387.713631,387.7139073,1.386006959,1.414866704,1.455662878,1.450844992,50,50,50,50,0.015,0.015,0.015,0.015,387.9299822,387.92769,387.9254962,387.9258375
