Filename,Variable name,Units,Variable reference,Index type key,Variable type key,Keyed value
HVACStandAloneERV.cc,"""Zone Ventilator Sensible Cooling Rate""",OutputProcessor::Unit::W,standAloneERV.SensCoolingRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,standAloneERV.Name
HVACStandAloneERV.cc,"""Zone Ventilator Sensible Cooling Energy""",OutputProcessor::Unit::J,standAloneERV.SensCoolingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,standAloneERV.Name
HVACStandAloneERV.cc,"""Zone Ventilator Latent Cooling Rate""",OutputProcessor::Unit::W,standAloneERV.LatCoolingRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,standAloneERV.Name
HVACStandAloneERV.cc,"""Zone Ventilator Latent Cooling Energy""",OutputProcessor::Unit::J,standAloneERV.LatCoolingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,standAloneERV.Name
HVACStandAloneERV.cc,"""Zone Ventilator Total Cooling Rate""",OutputProcessor::Unit::W,standAloneERV.TotCoolingRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,standAloneERV.Name
HVACStandAloneERV.cc,"""Zone Ventilator Total Cooling Energy""",OutputProcessor::Unit::J,standAloneERV.TotCoolingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,standAloneERV.Name
HVACStandAloneERV.cc,"""Zone Ventilator Sensible Heating Rate""",OutputProcessor::Unit::W,standAloneERV.SensHeatingRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,standAloneERV.Name
HVACStandAloneERV.cc,"""Zone Ventilator Sensible Heating Energy""",OutputProcessor::Unit::J,standAloneERV.SensHeatingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,standAloneERV.Name
HVACStandAloneERV.cc,"""Zone Ventilator Latent Heating Rate""",OutputProcessor::Unit::W,standAloneERV.LatHeatingRate,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Average,standAloneERV.Name
HVACStandAloneERV.cc,"""Zone Ventilator Latent Heating Energy""",OutputProcessor::Unit::J,standAloneERV.LatHeatingEnergy,OutputProcessor::SOVTimeStepType::System,OutputProcessor::SOVStoreType::Summed,standAloneERV.Name
